ID,PUNTUACION_ACCESIBILIDAD,PUNTUACION_CALIDAD,COMENTARIOS,AreaRecreativaID,FECHA
1,2,1,Regular,18510,27/03/2021
2,5,5,Excelente,52143,25/03/2023
3,1,1,Deficiente,6907760,19/03/2022
4,2,1,Regular,9187084,25/06/2021
5,3,2,Aceptable,17256,28/12/2023
6,5,5,Excelente,18570,09/12/2021
7,1,1,Deficiente,17647,22/02/2021
8,1,2,Regular,52103,15/12/2022
9,1,1,Deficiente,52195,07/10/2021
10,2,2,Aceptable,52223,24/05/2023
11,1,1,Deficiente,18345,30/05/2021
12,2,2,Aceptable,18371,13/08/2023
13,5,5,Excelente,16716,15/09/2023
14,4,4,Excelente,4749900,02/03/2021
15,5,4,Excelente,18055,19/05/2022
16,2,2,Aceptable,18099,13/04/2021
17,5,4,Excelente,17373,19/01/2021
18,1,1,Deficiente,18330,12/04/2022
19,5,5,Excelente,17407,29/06/2022
20,5,5,Excelente,16677,22/07/2022
21,5,5,Excelente,18435,11/08/2022
22,5,4,Excelente,17300,04/05/2023
23,5,4,Excelente,18378,17/07/2021
24,1,1,Deficiente,18278,31/07/2023
25,4,4,Excelente,17409,15/12/2021
26,2,1,Regular,17977,03/01/2023
27,2,2,Aceptable,17685,04/11/2023
28,1,1,Deficiente,52158,26/09/2022
29,4,3,Muy bueno,17555,08/09/2021
30,5,5,Excelente,17760,27/04/2021
31,2,2,Aceptable,3991087,04/11/2022
32,4,3,Muy bueno,18620,26/03/2021
33,3,4,Muy bueno,17008,04/01/2023
34,2,1,Regular,18083,08/10/2023
35,3,3,Muy bueno,18630,10/06/2021
36,1,2,Regular,17045,17/08/2022
37,2,2,Aceptable,17419,13/11/2022
38,1,1,Deficiente,3558513,31/01/2023
39,2,1,Regular,18351,17/09/2023
40,4,4,Excelente,17092,23/02/2023
41,4,4,Excelente,17783,30/11/2022
42,4,3,Muy bueno,18528,23/01/2021
43,2,2,Aceptable,5195695,13/02/2022
44,3,2,Aceptable,17858,27/08/2021
45,3,4,Muy bueno,18410,26/06/2021
46,1,1,Deficiente,18557,16/08/2023
47,2,2,Aceptable,16967,25/10/2021
48,1,1,Deficiente,18193,25/08/2023
49,4,4,Excelente,17862,12/06/2023
50,5,4,Excelente,18395,21/05/2021
51,1,2,Regular,7928019,24/07/2021
52,1,1,Deficiente,8907322,28/12/2023
53,3,4,Muy bueno,4749896,13/06/2023
54,4,5,Excelente,17362,15/04/2023
55,5,4,Excelente,6819626,26/03/2023
56,1,1,Deficiente,52167,18/06/2022
57,3,3,Muy bueno,17675,13/01/2021
58,4,5,Excelente,17139,19/04/2022
59,1,2,Regular,17742,26/03/2021
60,5,5,Excelente,5654057,18/04/2022
61,3,4,Muy bueno,18011,19/11/2023
62,3,2,Aceptable,18149,13/05/2021
63,2,3,Aceptable,17786,05/04/2023
64,5,5,Excelente,6880820,10/10/2021
65,4,3,Muy bueno,18284,11/10/2022
66,3,3,Muy bueno,8914015,12/02/2023
67,1,1,Deficiente,16986,03/05/2023
68,2,1,Regular,7882665,03/02/2023
69,5,5,Excelente,17378,15/08/2021
70,3,2,Aceptable,17511,13/10/2023
71,5,4,Excelente,16767,16/07/2021
72,3,3,Muy bueno,18168,25/07/2021
73,5,4,Excelente,18091,09/01/2022
74,3,3,Muy bueno,5653963,15/08/2022
75,2,1,Regular,17200,18/01/2022
76,5,5,Excelente,16969,14/10/2023
77,2,3,Aceptable,17266,25/02/2022
78,5,5,Excelente,7245849,23/09/2022
79,1,2,Regular,17283,24/02/2023
80,4,4,Excelente,17938,18/10/2021
81,4,4,Excelente,17289,08/12/2023
82,1,1,Deficiente,17063,30/09/2023
83,1,1,Deficiente,18327,18/03/2022
84,5,5,Excelente,17549,31/03/2023
85,5,5,Excelente,18584,08/06/2023
86,1,1,Deficiente,5237134,31/07/2023
87,2,3,Aceptable,18454,04/10/2021
88,1,2,Regular,18074,11/03/2022
89,2,2,Aceptable,17779,08/02/2023
