ID,FECHA_REPORTE,TIPO_INCIDENTE,GRAVEDAD,AreaRecreativaID
1,13/06/2024,Robo,Alta,17538
2,16/07/2024,Caída,Baja,16724
3,09/03/2021,Caída,Crítica,18191
4,15/10/2023,Accidente,Media,52162
5,25/06/2022,Accidente,Alta,17397
6,08/06/2020,Robo,Baja,17260
7,23/08/2023,Vandalismo,Crítica,7928031
8,15/01/2022,Accidente,Crítica,17278
9,27/08/2024,Vandalismo,Media,16729
10,04/11/2020,Accidente,Crítica,17203
11,11/11/2023,Accidente,Media,18354
12,25/12/2020,Daño estructural,Media,17446
13,18/10/2020,Caída,Media,18411
14,25/09/2024,Caída,Media,18294
15,11/12/2019,Daño estructural,Media,52102
16,10/07/2024,Caída,Media,18321
17,07/12/2020,Vandalismo,Baja,18203
18,30/01/2020,Daño estructural,Media,17181
19,21/07/2020,Vandalismo,Alta,17701
20,14/08/2021,Daño estructural,Baja,52114
21,09/10/2020,Daño estructural,Baja,17907
22,18/11/2019,Vandalismo,Media,52105
23,08/04/2022,Caída,Media,7889423
24,03/06/2024,Caída,Media,18118
25,03/06/2021,Robo,Baja,52060
26,16/11/2020,Vandalismo,Alta,6880820
27,27/11/2019,Accidente,Media,17849
28,18/09/2023,Daño estructural,Crítica,17769
29,22/10/2023,Accidente,Baja,17091
30,23/08/2020,Daño estructural,Alta,5219934
31,15/06/2021,Vandalismo,Alta,17629
32,13/04/2024,Caída,Crítica,18355
33,01/06/2020,Caída,Baja,17149
34,16/07/2024,Accidente,Alta,17768
35,12/01/2024,Vandalismo,Baja,16763
36,28/07/2024,Caída,Media,3568959
37,13/09/2023,Accidente,Crítica,16928
38,26/07/2024,Accidente,Alta,17026
39,24/03/2024,Daño estructural,Crítica,4985928
40,08/03/2022,Caída,Alta,3573055
41,27/09/2023,Daño estructural,Crítica,18010
42,14/04/2023,Accidente,Media,17765
43,12/01/2021,Daño estructural,Alta,7356671
44,16/04/2021,Daño estructural,Baja,17256
45,10/02/2024,Accidente,Media,16731
46,17/05/2022,Caída,Crítica,18492
47,11/04/2021,Robo,Media,17123
48,08/10/2021,Caída,Alta,8799950
49,13/11/2023,Daño estructural,Media,17311
50,26/07/2020,Daño estructural,Media,18430
51,03/10/2021,Caída,Baja,18519
52,22/01/2024,Accidente,Alta,52055
53,04/03/2021,Caída,Crítica,52088
54,28/11/2022,Daño estructural,Baja,7126517
55,28/09/2022,Accidente,Alta,17798
56,30/09/2023,Accidente,Alta,16935
57,17/12/2022,Caída,Media,17997
58,17/07/2022,Daño estructural,Baja,18481
59,13/04/2023,Robo,Crítica,52046
60,30/08/2020,Daño estructural,Alta,5056315
61,03/11/2019,Robo,Baja,4986445
62,09/06/2023,Robo,Crítica,3566363
63,15/05/2022,Vandalismo,Media,18527
64,04/09/2020,Caída,Media,18548
65,23/01/2023,Robo,Crítica,16986
66,14/01/2024,Daño estructural,Baja,16914
67,12/09/2021,Daño estructural,Media,16830
68,28/02/2020,Daño estructural,Media,7862164
69,29/04/2021,Daño estructural,Crítica,16669
70,06/01/2020,Vandalismo,Crítica,7838817
71,18/03/2022,Daño estructural,Alta,17710
72,18/03/2024,Daño estructural,Crítica,7107695
73,01/10/2021,Daño estructural,Alta,18003
74,05/03/2024,Robo,Alta,17977
75,01/10/2024,Robo,Crítica,18524
76,22/02/2024,Accidente,Media,18468
77,11/07/2019,Vandalismo,Media,18085
78,05/09/2024,Daño estructural,Baja,17087
79,03/05/2022,Robo,Crítica,17304
80,20/11/2022,Accidente,Media,17905
81,05/05/2022,Robo,Baja,5246196
82,29/07/2022,Caída,Crítica,4986142
83,11/06/2020,Robo,Crítica,18220
84,11/01/2019,Robo,Baja,17739
85,22/06/2020,Robo,Alta,52116
86,08/09/2022,Daño estructural,Baja,17900
87,01/04/2021,Accidente,Alta,8909095
88,17/06/2024,Caída,Alta,16780
89,14/09/2020,Robo,Baja,18363
90,29/01/2020,Accidente,Crítica,18292
91,10/02/2021,Caída,Crítica,7802438
92,21/12/2022,Daño estructural,Alta,18370
93,12/10/2022,Vandalismo,Crítica,7247843
94,15/10/2021,Accidente,Crítica,17872
95,13/10/2023,Daño estructural,Media,17927
96,19/09/2022,Accidente,Crítica,17854
97,17/12/2020,Robo,Crítica,5237131
98,28/05/2022,Caída,Alta,52073
99,05/10/2022,Accidente,Crítica,7125612
100,30/06/2021,Robo,Media,17909
101,27/07/2020,Robo,Media,16831
102,19/07/2020,Caída,Baja,18234
103,23/08/2024,Caída,Crítica,4988273
104,01/01/2023,Caída,Alta,9187536
105,23/08/2024,Robo,Media,17911
106,12/03/2020,Caída,Media,17686
107,03/07/2021,Accidente,Baja,52217
108,20/03/2020,Caída,Alta,5175231
109,24/10/2021,Accidente,Baja,17597
110,18/09/2024,Robo,Baja,18470
111,16/03/2021,Vandalismo,Baja,52111
112,29/04/2023,Caída,Crítica,17954
113,14/09/2021,Vandalismo,Media,18295
114,30/07/2022,Caída,Crítica,16825
115,23/12/2021,Caída,Alta,17477
116,21/10/2021,Robo,Baja,7126577
117,24/04/2022,Caída,Media,17109
118,18/01/2020,Vandalismo,Media,17915
119,01/01/2023,Daño estructural,Crítica,16911
120,19/08/2021,Caída,Alta,16811
121,16/09/2021,Accidente,Baja,17413
122,19/12/2019,Daño estructural,Media,16853
123,30/01/2020,Accidente,Media,16718
124,09/07/2024,Vandalismo,Media,16822
125,20/07/2021,Caída,Media,17144
126,01/01/2020,Caída,Alta,52192
127,30/09/2022,Caída,Baja,17701
128,30/06/2023,Robo,Baja,16967
129,06/02/2022,Robo,Media,17847
130,03/12/2019,Robo,Crítica,18269
131,03/07/2022,Robo,Crítica,5213818
132,23/12/2022,Daño estructural,Media,18007
133,13/03/2022,Caída,Alta,18036
134,11/04/2022,Vandalismo,Media,52147
135,06/04/2022,Caída,Media,17919
136,20/03/2022,Accidente,Alta,17352
137,29/09/2020,Caída,Alta,17937
138,04/10/2021,Daño estructural,Alta,8799550
139,25/08/2023,Accidente,Alta,18566
140,06/09/2021,Daño estructural,Baja,18267
141,02/12/2022,Vandalismo,Baja,18096
142,25/07/2024,Daño estructural,Alta,17816
143,06/08/2022,Accidente,Media,17969
144,30/04/2021,Accidente,Alta,17424
145,05/11/2021,Caída,Baja,18571
146,26/05/2022,Caída,Media,18222
147,29/12/2022,Vandalismo,Alta,5246180
