ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,MODELO,tipo_juego,ACCESIBLE
9536972,Varios Juegos en CDE,125,Moscardo,12,Usera,OPERATIVO,440127.235,4471484.87,ETRS89,40.39181226,-3.70546297,SIN TIPO,Desconocido,S/N,28026,C/Torero,11084099,2024-01-31,D127106,AE21,Desconocido,Deportivas,No
9536966,Varios Juegos en CDE,125,Moscardo,12,Usera,OPERATIVO,440120.72,4471484.01,ETRS89,40.39180405,-3.70553965,SIN TIPO,Desconocido,S/N,28026,C/Torero,11084099,2024-01-31,D127102,AE21,Desconocido,Deportivas,No
9536965,Varios Juegos en CDE,125,Moscardo,12,Usera,OPERATIVO,440122.796,4471479.925,ETRS89,40.3917674,-3.70551481,SIN TIPO,Desconocido,S/N,28026,C/Torero,11084099,2024-01-31,D127101,AE21,Desconocido,Deportivas,No
9535131,Barras paralelas en CDE,116,Buenavista,11,Carabanchel,OPERATIVO,436239.954,4468572.408,ETRS89,40.36528705,-3.75097065,SIN TIPO,Desconocido,S/N,28054,C/Blanca Cv C/Dinero,31069202,2023-09-15,D117105,AE21,Desconocido,Deportivas,No
9535128,Multiejercicio en CDE,116,Buenavista,11,Carabanchel,OPERATIVO,436234.994,4468565.132,ETRS89,40.36522112,-3.75102834,SIN TIPO,Desconocido,S/N,28054,C/Blanca Cv C/Dinero,31069202,1998-01-01,D117102,AE21,Desconocido,Deportivas,No
9535127,Banco de abdominales en CDE,116,Buenavista,11,Carabanchel,OPERATIVO,436241.807,4468566.587,ETRS89,40.36523475,-3.75094824,SIN TIPO,Desconocido,S/N,28054,C/Blanca Cv C/Dinero,31069202,2023-09-15,D117101,AE21,Desconocido,Deportivas,No
9494201,Varios Juegos en CDE,65,Valdeacederas,6,Tetuan,OPERATIVO,439936.89,4479630.206,ETRS89,40.46517536,-3.70847517,SIN TIPO,Desconocido,S/N,28039,Paseo De La Direccin 215,31028286,1998-01-01,D065803,AE21,Desconocido,Deportivas,No
9493030,Banco de abdominales en CDE,54,Hispanoamerica,5,Chamartin,OPERATIVO,442788.959,4478566.027,ETRS89,40.45579005,-3.6747399,SIN TIPO,Desconocido,S/N,28016,Puerto Rico 27,11025193,1998-01-01,D050712,AE21,Desconocido,Deportivas,No
9493021,Varios Juegos en CDE,54,Hispanoamerica,5,Chamartin,OPERATIVO,442778.376,4478564.042,ETRS89,40.45577144,-3.67486453,SIN TIPO,Desconocido,S/N,28016,Puerto Rico 27,11025193,2024-07-03,D050706,AE21,Desconocido,Deportivas,No
9492867,Varios Juegos en CDE,86,Valverde,8,Fuencarral - El Pardo,OPERATIVO,441924.663,4481670.475,ETRS89,40.48369629,-3.68521681,SIN TIPO,Desconocido,S/N,28034,Parque De Begoa,11047058,2024-04-04,D085508,AE21,Desconocido,Deportivas,No
9492624,Banco de abdominales en CDE,83,Penagrande,8,Fuencarral - El Pardo,OPERATIVO,437900.908,4482004.072,ETRS89,40.48641023,-3.73272123,SIN TIPO,Desconocido,S/N,28049,Calle Arroyo Del Monte 17,31055760,2024-02-14,D087702,AE21,Desconocido,Deportivas,No
9438562,Barra defFlexiones en CDE,84,Pilar,8,Fuencarral - El Pardo,OPERATIVO,439958.955,4481432.719,ETRS89,40.48141467,-3.70838555,SIN TIPO,Desconocido,S/N,28034,Cv C/Pintor Francisco Llorens,11045726,2024-03-26,D087607,AE21,Desconocido,Deportivas,No
9438560,Varios Juegos en CDE,84,Pilar,8,Fuencarral - El Pardo,OPERATIVO,439966.363,4481437.217,ETRS89,40.48145573,-3.70829858,SIN TIPO,Desconocido,S/N,28034,Cv C/Pintor Francisco Llorens,11045726,2024-03-26,D087605,AE21,Desconocido,Deportivas,No
9438380,Varios Juegos en CDE,84,Pilar,8,Fuencarral - El Pardo,OPERATIVO,439950.819,4481434.812,ETRS89,40.48143294,-3.70848173,SIN TIPO,Desconocido,S/N,28034,Cv C/Pintor Francisco Llorens,11045726,1998-01-01,D087602,AE21,Desconocido,Deportivas,No
9438367,Varios Juegos en CDE,85,La Paz,8,Fuencarral - El Pardo,OPERATIVO,440353.364,4481511.296,ETRS89,40.48215095,-3.70373989,SIN TIPO,Desconocido,S/N,28029,Cv  C/Finisterre,20098055,2024-03-26,D087508,AE21,Desconocido,Deportivas,No
9438316,Varios Juegos en CDE,85,La Paz,8,Fuencarral - El Pardo,OPERATIVO,440371.356,4481518.969,ETRS89,40.48222136,-3.70352835,SIN TIPO,Desconocido,S/N,28029,Cv  C/Finisterre,20098055,2024-03-26,D087502,AE21,Desconocido,Deportivas,No
9407936,Varios Juegos en CDE,116,Buenavista,11,Carabanchel,OPERATIVO,435355.049,4469531.535,ETRS89,40.37385913,-3.76148951,SIN TIPO,Desconocido,S/N,28044,Parque Cruces,31050612,2023-01-08,C118609,AE21,Desconocido,Deportivas,No
9407914,Varios Juegos en CDE,116,Buenavista,11,Carabanchel,OPERATIVO,435358.623,4469507.565,ETRS89,40.37364348,-3.76144498,SIN TIPO,Desconocido,S/N,28044,Parque Cruces,31050612,2023-01-08,C118606,AE21,Desconocido,Deportivas,No
9407910,Varios Juegos en CDE,116,Buenavista,11,Carabanchel,OPERATIVO,435336.53,4469529.89,ETRS89,40.37384288,-3.76170747,SIN TIPO,Desconocido,S/N,28044,Parque Cruces,31050612,2023-01-08,C118603,AE21,Desconocido,Deportivas,No
9407821,Varios Juegos en CDE,116,Buenavista,11,Carabanchel,OPERATIVO,435898.804,4469724.458,ETRS89,40.37563906,-3.75510424,SIN TIPO,Desconocido,S/N,28044,Parque Camino De Las Cruces,11077627,1998-01-01,C118508,AE21,Desconocido,Deportivas,No
9407759,Varios Juegos en CDE,116,Buenavista,11,Carabanchel,OPERATIVO,435915.539,4469735.703,ETRS89,40.37574165,-3.75490825,SIN TIPO,Desconocido,S/N,28044,Parque Camino De Las Cruces,11077627,2023-01-08,C118504,AE21,Desconocido,Deportivas,No
9407627,Varios Juegos en CDE,116,Buenavista,11,Carabanchel,OPERATIVO,435906.775,4469728.334,ETRS89,40.37567459,-3.75501074,SIN TIPO,Desconocido,S/N,28044,Parque Camino De Las Cruces,11077627,2023-08-01,C118501,AE21,Desconocido,Deportivas,No
9398114,Escalera Horizontal en CDE,103,Lucero,10,Latina,OPERATIVO,436601.657,4472415.815,ETRS89,40.39993772,-3.74709324,SIN TIPO,Desconocido,S/N,28011,Parque Caramuel,20148982,1998-01-01,D105509,AE21,Desconocido,Deportivas,No
9397138,Varios Juegos en CDE,131,Entrevias,13,Puente De Vallecas,OPERATIVO,442563.436,4470305.248,ETRS89,40.38135711,-3.67665352,SIN TIPO,Desconocido,S/N,28053,C/ Lagartera,31012755,2023-11-28,D137209,AE21,Desconocido,Deportivas,No
9397137,Varios Juegos en CDE,131,Entrevias,13,Puente De Vallecas,OPERATIVO,442558.806,4470306.439,ETRS89,40.38136752,-3.67670817,SIN TIPO,Desconocido,S/N,28053,C/ Lagartera,31012755,2023-11-28,D137208,AE21,Desconocido,Deportivas,No
9397134,Varios Juegos en CDE,131,Entrevias,13,Puente De Vallecas,OPERATIVO,442555.366,4470308.026,ETRS89,40.38138158,-3.67674884,SIN TIPO,Desconocido,S/N,28053,C/ Lagartera,31012755,2023-11-28,D137206,AE21,Desconocido,Deportivas,No
9397131,Varios Juegos en CDE,131,Entrevias,13,Puente De Vallecas,OPERATIVO,442564.627,4470303.561,ETRS89,40.38134199,-3.67663934,SIN TIPO,Desconocido,S/N,28053,C/ Lagartera,31012755,2023-11-28,D137203,AE21,Desconocido,Deportivas,No
9397078,Varios Juegos en CDE,131,Entrevias,13,Puente De Vallecas,OPERATIVO,442561.584,4470303.727,ETRS89,40.38134328,-3.6766752,SIN TIPO,Desconocido,S/N,28053,C/ Lagartera,31012755,2023-11-28,D137202,AE21,Desconocido,Deportivas,No
9397071,Varios Juegos en CDE,131,Entrevias,13,Puente De Vallecas,OPERATIVO,442621.427,4470489.947,ETRS89,40.38302498,-3.67598701,SIN TIPO,Desconocido,S/N,28053,C/ Lagartera,31012755,2023-11-28,D137306,AE21,Desconocido,Deportivas,No
9397070,Varios Juegos en CDE,131,Entrevias,13,Puente De Vallecas,OPERATIVO,442626.52,4470509.592,ETRS89,40.3832023,-3.67592879,SIN TIPO,Desconocido,S/N,28053,C/ Lagartera,31012755,2023-11-28,D137305,AE21,Desconocido,Deportivas,No
9396700,Varios Juegos en CDE,151,Ventas,15,Ciudad Lineal,OPERATIVO,444885.438,4475245.448,ETRS89,40.42601818,-3.64972776,SIN TIPO,Desconocido,S/N,28017,Cv C/Maria Teresa Saez De Heredia,11103833,1998-01-01,D155705,AE21,Desconocido,Deportivas,No
9396660,Varios Juegos en CDE,151,Ventas,15,Ciudad Lineal,OPERATIVO,444884.975,4475241.975,ETRS89,40.42598686,-3.64973292,SIN TIPO,Desconocido,S/N,28017,Cv C/Maria Teresa Saez De Heredia,11103833,2023-09-15,D155701,AE21,Desconocido,Deportivas,No
9393810,Varios Juegos en CDE,213,Casco Historico De Barajas,21,Barajas,OPERATIVO,451156.281,4480242.898,ETRS89,40.47143023,-3.57619095,SIN TIPO,Desconocido,S/N,28042,Ayerbe 22,20078838,2023-03-11,D216205,AE21,Desconocido,Deportivas,No
9392926,Varios Juegos en CDE,212,Aeropuerto,21,Barajas,OPERATIVO,451072.723,4480229.103,ETRS89,40.47130104,-3.57717554,SIN TIPO,Desconocido,S/N,28042,Ayerbe 23,20152036,2023-03-11,D216304,AE21,Desconocido,Deportivas,No
9392924,Varios Juegos en CDE,212,Aeropuerto,21,Barajas,OPERATIVO,451075.236,4480231.882,ETRS89,40.47132622,-3.57714611,SIN TIPO,Desconocido,S/N,28042,Ayerbe 23,20152036,2023-03-11,D216303,AE21,Desconocido,Deportivas,No
9392921,Varios Juegos en CDE,212,Aeropuerto,21,Barajas,OPERATIVO,451079.073,4480233.866,ETRS89,40.47134432,-3.577101,SIN TIPO,Desconocido,S/N,28042,Ayerbe 23,20152036,2023-03-11,D216302,AE21,Desconocido,Deportivas,No
9392500,Barras paralelas en CDE,126,Zofio,12,Usera,OPERATIVO,439527.763,4470583.204,ETRS89,40.3836463,-3.71244026,SIN TIPO,Desconocido,S/N,28026,Rafaela Ybarra 4,20025114,2023-12-18,D127008,AE21,Desconocido,Deportivas,No
9392487,Banco de abdominales en CDE,126,Zofio,12,Usera,OPERATIVO,439520.686,4470578.508,ETRS89,40.38360348,-3.71252318,SIN TIPO,Desconocido,S/N,28026,Rafaela Ybarra 4,20025114,2023-12-18,D127007,AE21,Desconocido,Deportivas,No
9392199,Barra de estiramientos en CDE,126,Zofio,12,Usera,OPERATIVO,439530.938,4470584.659,ETRS89,40.38365964,-3.712403,SIN TIPO,Desconocido,S/N,28026,Rafaela Ybarra 4,20025114,2023-12-18,D127004,AE21,Desconocido,Deportivas,No
9389731,Varios Juegos en CDE,205,Rosas,20,San Blas - Canillejas,OPERATIVO,449095.027,4474894.098,ETRS89,40.42312122,-3.60007683,SIN TIPO,Desconocido,S/N,28022,Cv Sofia,20150424,2023-08-09,C208801,AE21,Desconocido,Deportivas,No
9389678,Varios Juegos en CDE,205,Rosas,20,San Blas - Canillejas,OPERATIVO,449135.905,4475560.585,ETRS89,40.42912786,-3.5996483,SIN TIPO,Desconocido,S/N,28022,Paseo De Ginegra,20122420,2023-09-08,C208710,AE21,Desconocido,Deportivas,No
9389675,Varios Juegos en CDE,205,Rosas,20,San Blas - Canillejas,OPERATIVO,449140.535,4475547.785,ETRS89,40.42901283,-3.5995927,SIN TIPO,Desconocido,S/N,28022,Paseo De Ginegra,20122420,2023-08-09,C208708,AE21,Desconocido,Deportivas,No
9389622,Varios Juegos en CDE,205,Rosas,20,San Blas - Canillejas,OPERATIVO,449134.053,4475575.699,ETRS89,40.4292639,-3.59967134,SIN TIPO,Desconocido,S/N,28022,Paseo De Ginegra,20122420,2023-09-08,C208705,AE21,Desconocido,Deportivas,No
9383249,Barras paralelas en CDE,205,Rosas,20,San Blas - Canillejas,OPERATIVO,449103.995,4475745.638,ETRS89,40.43079298,-3.60003929,SIN TIPO,Desconocido,S/N,28022,Estocolmo 26,20119749,2022-11-28,D205015,AE21,Desconocido,Deportivas,No
9295465,Barras paralelas en CDE,124,Almendrales,12,Usera,OPERATIVO,440386.198,4470239.803,ETRS89,40.38061462,-3.7022954,SIN TIPO,Desconocido,S/N,28026,Cv Cristo De Lepanto,11085828,2023-06-23,D126807,AE21,Desconocido,Deportivas,No
9295454,Banco de abdominales en CDE,124,Almendrales,12,Usera,OPERATIVO,440378.856,4470240.662,ETRS89,40.38062184,-3.70238196,SIN TIPO,Desconocido,S/N,28026,Cv Cristo De Lepanto,11085828,2023-06-23,D126806,AE21,Desconocido,Deportivas,No
9295451,Multiejercicio en CDE,124,Almendrales,12,Usera,OPERATIVO,440388.91,4470233.519,ETRS89,40.38055821,-3.70226286,SIN TIPO,Desconocido,S/N,28026,Cv Cristo De Lepanto,11085828,1998-01-01,D126804,AE21,Desconocido,Deportivas,No
9295430,Barras paralelas en CDE,124,Almendrales,12,Usera,OPERATIVO,440391.82,4470223.729,ETRS89,40.38047022,-3.70222767,SIN TIPO,Desconocido,S/N,28026,Cv Cristo De Lepanto,11085828,2023-06-23,D126802,AE21,Desconocido,Deportivas,No
9295385,Varios Juegos en CDE,143,Marroquina,14,Moratalaz,OPERATIVO,445290.329,4473364.375,ETRS89,40.40909911,-3.64479312,SIN TIPO,Desconocido,S/N,28030,Camino De Los Vinateros,31046138,2023-07-03,C147111,AE21,Desconocido,Deportivas,No
9295378,Varios Juegos en CDE,143,Marroquina,14,Moratalaz,OPERATIVO,445286.625,4473368.376,ETRS89,40.40913491,-3.64483712,SIN TIPO,Desconocido,S/N,28030,Camino De Los Vinateros,31046138,2023-03-07,C147110,AE21,Desconocido,Deportivas,No
9295340,Varios Juegos en CDE,143,Marroquina,14,Moratalaz,OPERATIVO,445282.16,4473362.787,ETRS89,40.40908426,-3.64488925,SIN TIPO,Desconocido,S/N,28030,Camino De Los Vinateros,31046138,2023-03-07,C147102,AE21,Desconocido,Deportivas,No
9295061,Varios Juegos en CDE,56,Castilla,5,Chamartin,OPERATIVO,441908.415,4481209.367,ETRS89,40.4795413,-3.68536625,SIN TIPO,Desconocido,S/N,28046,Paseo De La Castellana 296,11027373,2023-07-26,C050711,AE21,Desconocido,Deportivas,No
9536975,Varios Juegos en CDE,125,Moscardo,12,Usera,OPERATIVO,440130.212,4471480.372,ETRS89,40.39177196,-3.70542747,SIN TIPO,Desconocido,S/N,28026,C/Torero,11084099,2024-01-31,D127107,AE21,Desconocido,Deportivas,No
9536969,Varios Juegos en CDE,125,Moscardo,12,Usera,OPERATIVO,440114.072,4471477.263,ETRS89,40.39174279,-3.70561734,SIN TIPO,Desconocido,S/N,28026,C/Torero,11084099,2024-01-31,D127104,AE21,Desconocido,Deportivas,No
9497654,Varios Juegos en CDE,205,Rosas,20,San Blas - Canillejas,OPERATIVO,448781.022,4476268.768,ETRS89,40.43548584,-3.60388895,SIN TIPO,Desconocido,S/N,28022,Av Arcentales 37,31042673,2024-04-04,D205806,AE21,Desconocido,Deportivas,No
9494208,Varios Juegos en CDE,65,Valdeacederas,6,Tetuan,OPERATIVO,439944.695,4479623.591,ETRS89,40.46511634,-3.70838249,SIN TIPO,Desconocido,S/N,28039,Paseo De La Direccin 215,31028286,2024-03-19,D065806,AE21,Desconocido,Deportivas,No
9494204,Barra defFlexiones en CDE,65,Valdeacederas,6,Tetuan,OPERATIVO,439944.828,4479621.739,ETRS89,40.46509966,-3.70838074,SIN TIPO,Desconocido,S/N,28039,Paseo De La Direccin 215,31028286,2024-03-19,D065805,AE21,Desconocido,Deportivas,No
9494202,Varios Juegos en CDE,65,Valdeacederas,6,Tetuan,OPERATIVO,439941.256,4479629.677,ETRS89,40.46517091,-3.70842362,SIN TIPO,Desconocido,S/N,28039,Paseo De La Direccin 215,31028286,2024-03-19,D065804,AE21,Desconocido,Deportivas,No
9493044,Varios Juegos en CDE,54,Hispanoamerica,5,Chamartin,OPERATIVO,442786.777,4478563.249,ETRS89,40.45576487,-3.67476538,SIN TIPO,Desconocido,S/N,28016,Puerto Rico 27,11025193,2024-07-03,D050714,AE21,Desconocido,Deportivas,No
9493027,Varios Juegos en CDE,54,Hispanoamerica,5,Chamartin,OPERATIVO,442794.681,4478564.637,ETRS89,40.45577792,-3.67467229,SIN TIPO,Desconocido,S/N,28016,Puerto Rico 27,11025193,2024-03-07,D050709,AE21,Desconocido,Deportivas,No
9493024,Varios Juegos en CDE,54,Hispanoamerica,5,Chamartin,OPERATIVO,442791.01,4478564.373,ETRS89,40.45577529,-3.67471556,SIN TIPO,Desconocido,S/N,28016,Puerto Rico 27,11025193,2024-07-03,D050708,AE21,Desconocido,Deportivas,No
9493000,Varios Juegos en CDE,54,Hispanoamerica,5,Chamartin,OPERATIVO,442775.565,4478566.291,ETRS89,40.4557915,-3.67489788,SIN TIPO,Desconocido,S/N,28016,Puerto Rico 27,11025193,1998-01-01,D050703,AE21,Desconocido,Deportivas,No
9492873,Multiejercicio en CDE,54,Hispanoamerica,5,Chamartin,OPERATIVO,442791.353,4478583.535,ETRS89,40.45594793,-3.67471324,SIN TIPO,Desconocido,S/N,28016,C/Puerto Rico 29,11025194,2024-07-03,D050803,AE21,Desconocido,Deportivas,No
