ID,FECHA_INTERVENCION,TIPO_INTERVENCION,ESTADO_PREVIO,ESTADO_POSTERIOR,JuegoID,Tipo,Comentarios
MNT-00001,05/08/2024,Correctivo,Malo,Malo,9394146,preventivo,Comentario sobre el mantenimiento 1
MNT-00002,30/03/2024,Correctivo,Regular,Regular,9224036,preventivo,Comentario sobre el mantenimiento 2
MNT-00003,17/09/2024,Emergencia,Bueno,Bueno,3849642,preventivo,Comentario sobre el mantenimiento 3
MNT-00004,01/11/2023,Emergencia,Regular,Bueno,59177,preventivo,Comentario sobre el mantenimiento 4
MNT-00005,04/02/2024,Emergencia,Bueno,Malo,21957,preventivo,Comentario sobre el mantenimiento 5
MNT-00006,06/03/2024,Preventivo,Regular,Regular,34208,queja_usuario,Comentario sobre el mantenimiento 6
MNT-00007,22/10/2023,Preventivo,Bueno,Regular,8803674,queja_usuario,Comentario sobre el mantenimiento 7
MNT-00008,29/01/2024,Correctivo,Bueno,Regular,3576475,queja_usuario,Comentario sobre el mantenimiento 8
MNT-00009,01/07/2024,Correctivo,Malo,Regular,5158890,preventivo,Comentario sobre el mantenimiento 9
MNT-00010,20/02/2024,Emergencia,Regular,Bueno,4988207,preventivo,Comentario sobre el mantenimiento 10
MNT-00011,09/04/2024,Correctivo,Regular,Bueno,9223682,preventivo,Comentario sobre el mantenimiento 11
MNT-00012,02/08/2024,Preventivo,Bueno,Bueno,35036,queja_usuario,Comentario sobre el mantenimiento 12
MNT-00013,17/02/2024,Emergencia,Malo,Regular,58764,preventivo,Comentario sobre el mantenimiento 13
MNT-00014,25/05/2024,Emergencia,Malo,Regular,7822978,queja_usuario,Comentario sobre el mantenimiento 14
MNT-00015,18/10/2023,Emergencia,Bueno,Regular,7126930,queja_usuario,Comentario sobre el mantenimiento 15
MNT-00016,26/09/2024,Correctivo,Malo,Bueno,58422,preventivo,Comentario sobre el mantenimiento 16
MNT-00017,12/11/2023,Preventivo,Regular,Regular,4731663,queja_usuario,Comentario sobre el mantenimiento 17
MNT-00018,08/02/2024,Correctivo,Malo,Bueno,20559,preventivo,Comentario sobre el mantenimiento 18
MNT-00019,08/06/2024,Preventivo,Regular,Malo,21238,queja_usuario,Comentario sobre el mantenimiento 19
MNT-00020,18/12/2023,Preventivo,Regular,Regular,19725,queja_usuario,Comentario sobre el mantenimiento 20
MNT-00021,25/12/2023,Emergencia,Regular,Regular,4749929,preventivo,Comentario sobre el mantenimiento 21
MNT-00022,02/04/2024,Emergencia,Bueno,Regular,25582,queja_usuario,Comentario sobre el mantenimiento 22
MNT-00023,16/06/2024,Preventivo,Regular,Malo,18826,preventivo,Comentario sobre el mantenimiento 23
MNT-00024,13/06/2024,Correctivo,Bueno,Regular,20237,queja_usuario,Comentario sobre el mantenimiento 24
MNT-00025,12/07/2024,Correctivo,Regular,Malo,3997060,queja_usuario,Comentario sobre el mantenimiento 25
MNT-00026,20/05/2024,Emergencia,Malo,Malo,5241083,preventivo,Comentario sobre el mantenimiento 26
MNT-00027,19/08/2024,Preventivo,Bueno,Bueno,9497226,preventivo,Comentario sobre el mantenimiento 27
MNT-00028,03/01/2024,Correctivo,Regular,Bueno,9271148,preventivo,Comentario sobre el mantenimiento 28
MNT-00029,08/05/2024,Preventivo,Malo,Bueno,33591,preventivo,Comentario sobre el mantenimiento 29
MNT-00030,02/01/2024,Correctivo,Bueno,Malo,33491,preventivo,Comentario sobre el mantenimiento 30
MNT-00031,21/10/2023,Correctivo,Regular,Bueno,8888577,queja_usuario,Comentario sobre el mantenimiento 31
MNT-00032,10/09/2024,Correctivo,Malo,Regular,18703,preventivo,Comentario sobre el mantenimiento 32
MNT-00033,28/05/2024,Emergencia,Malo,Regular,8928074,preventivo,Comentario sobre el mantenimiento 33
MNT-00034,03/02/2024,Correctivo,Malo,Bueno,21749,queja_usuario,Comentario sobre el mantenimiento 34
MNT-00035,23/06/2024,Correctivo,Bueno,Bueno,4737873,queja_usuario,Comentario sobre el mantenimiento 35
MNT-00036,07/09/2024,Correctivo,Regular,Bueno,35182,preventivo,Comentario sobre el mantenimiento 36
MNT-00037,08/02/2024,Correctivo,Malo,Malo,8820183,queja_usuario,Comentario sobre el mantenimiento 37
MNT-00038,16/03/2024,Preventivo,Regular,Malo,19562,preventivo,Comentario sobre el mantenimiento 38
MNT-00039,16/05/2024,Correctivo,Regular,Malo,32653,preventivo,Comentario sobre el mantenimiento 39
MNT-00040,29/10/2023,Preventivo,Malo,Bueno,34142,queja_usuario,Comentario sobre el mantenimiento 40
MNT-00041,19/05/2024,Emergencia,Regular,Bueno,3963370,queja_usuario,Comentario sobre el mantenimiento 41
MNT-00042,09/05/2024,Correctivo,Regular,Bueno,21442,queja_usuario,Comentario sobre el mantenimiento 42
MNT-00043,08/07/2024,Correctivo,Regular,Bueno,6878949,preventivo,Comentario sobre el mantenimiento 43
MNT-00044,05/09/2024,Preventivo,Regular,Bueno,59202,preventivo,Comentario sobre el mantenimiento 44
MNT-00045,20/05/2024,Preventivo,Malo,Regular,7924749,preventivo,Comentario sobre el mantenimiento 45
MNT-00046,28/11/2023,Emergencia,Bueno,Bueno,9289730,preventivo,Comentario sobre el mantenimiento 46
MNT-00047,04/09/2024,Emergencia,Regular,Bueno,19866,queja_usuario,Comentario sobre el mantenimiento 47
MNT-00048,23/06/2024,Correctivo,Bueno,Regular,9052567,queja_usuario,Comentario sobre el mantenimiento 48
MNT-00049,31/01/2024,Correctivo,Regular,Malo,3530673,queja_usuario,Comentario sobre el mantenimiento 49
MNT-00050,28/04/2024,Preventivo,Bueno,Malo,59740,preventivo,Comentario sobre el mantenimiento 50
MNT-00051,13/01/2024,Correctivo,Bueno,Regular,5241064,preventivo,Comentario sobre el mantenimiento 51
MNT-00052,01/04/2024,Emergencia,Bueno,Malo,9157760,preventivo,Comentario sobre el mantenimiento 52
MNT-00053,27/04/2024,Emergencia,Regular,Regular,21140,preventivo,Comentario sobre el mantenimiento 53
MNT-00054,09/06/2024,Emergencia,Bueno,Bueno,24703,preventivo,Comentario sobre el mantenimiento 54
